dzielnica,cena,cena_m2,powierzchnia,rok_budowy,wlasnosc,zabudowa,stan,pietro,pietro_max,czynsz,pokoje,material,winda,rynek,ogloszeniodawca,balkon,ogrod,taras,wspolrzedne_szerokosc,wspolrzedne_wysokosc,link,odleglosc_metro,odleglosc_centrum
Bemowo,920000.0,9494.0,96.9,1999.0,building_ownership::full_ownership,building_type-15::block,construction_status::to_renovation,1.0,2.0,"1 447,36",4.0,building_material-69::brick,0,market::secondary,advertiser_type::agency,1,0,0,52.25011630617277,20.91005648095093,https://www.otodom.pl/pl/oferta/przestronne-i-plastyczne-mieszkanie-z-potencjalem-ID4lcvV,1.1789162228274463,6.848768800276079
Bielany,620000.0,14568.0,42.56,2016.0,building_ownership::full_ownership,building_type-15::block,construction_status-67::ready_to_use,5.0,8.0,418,2.0,,1,market::secondary,advertiser_type::agency,0,0,0,52.2712163,20.9196007,https://www.otodom.pl/pl/oferta/2-pokoje-42-56-ksiezycowa-bielany-ID4kszC,2.1591675633959473,7.3430078630442255
Rembertów,540000.0,9030.0,59.8,1957.0,building_ownership::full_ownership,,construction_status-67::ready_to_use,0.0,2.0,740,2.0,building_material-69::brick,0,market::secondary,advertiser_type::agency,0,0,0,52.25906,21.17363,https://www.otodom.pl/pl/oferta/dwupokojowe-na-starym-rembertowie-ID4kMyK,8.123878820918566,11.807361711553302
Białołęka,454100.0,8726.0,52.04,2023.0,building_ownership::full_ownership,building_type-15::block,construction_status::to_completion,2.0,2.0,8,3.0,building_material-69::brick,0,market::primary,advertiser_type::agency,1,0,0,52.32343534955283,21.06822274760741,https://www.otodom.pl/pl/oferta/hit-cenowy-parking-gratis-3-pokoje-ID4kXxs,3.707031578090576,11.040676203776885
Śródmieście,585000.0,16071.0,36.4,1970.0,building_ownership::full_ownership,building_type-15::block,construction_status::to_renovation,1.0,7.0,750,2.0,building_material-69::brick,1,market::secondary,advertiser_type::agency,1,0,0,52.23614,21.00817,https://www.otodom.pl/pl/oferta/dwa-pokoje-na-woli-nowolipki-ID4kYri,0.08313974993480035,0.5122482052441053
Żoliborz,1280000.0,22069.0,58.0,1950.0,,building_type::tenement,construction_status-67::ready_to_use,1.0,2.0,,2.0,building_material-69::brick,0,market::secondary,advertiser_type::agency,0,0,0,52.2670801,20.9799116,https://www.otodom.pl/pl/oferta/58-m2-w-kamienicy-na-zoliborzu-ID4kIcJ,0.5156238994145363,4.315772882675276
Praga-Południe,633159.0,13471.0,47.0,2001.0,building_ownership::co_operative_ownership_with_a_land_and_mortgage_registe,building_type-15::block,construction_status-67::ready_to_use,1.0,3.0,550,2.0,building_material-69::brick,0,market::secondary,advertiser_type::private,1,1,0,52.2373464,21.1035898,https://www.otodom.pl/pl/oferta/2-pokojowe-na-zielonym-osiedlu-praga-poludnie-ID4l78A,4.298359876307971,6.671787957389132
Włochy,600000.0,11494.0,52.2,2000.0,,building_type-15::block,construction_status-67::ready_to_use,1.0,3.0,637,2.0,building_material-69::brick,0,market::secondary,advertiser_type::agency,1,0,0,52.19764,20.9063333,https://www.otodom.pl/pl/oferta/wylacznieunas17-12-10kuchniaotwarta-piw-5-balk-5-ID4lc4Z,4.746544605451168,7.779106497478989
Śródmieście,680000.0,20606.0,33.0,1936.0,building_ownership::full_ownership,building_type::tenement,construction_status-67::ready_to_use,2.0,3.0,585,1.0,building_material-69::brick,0,market::secondary,advertiser_type::agency,0,0,0,52.207045,21.0333703,https://www.otodom.pl/pl/oferta/kawalerka-przy-lazienkach-kamienica-fenix-group-ID4l6Vd,1.7778666554386833,3.3154032001918305
Mokotów,449000.0,19956.0,22.5,,building_ownership::full_ownership,building_type::tenement,construction_status-67::ready_to_use,2.0,4.0,500,1.0,building_material-69::brick,0,market::secondary,advertiser_type::agency,0,0,0,52.21090966,21.04607105,https://www.otodom.pl/pl/oferta/kawalerka-w-kamienicy-idealna-na-wynajem-ID4kIgd,2.464794234287237,3.5758755013644645
Praga-Południe,430000.0,12836.0,33.5,1960.0,building_ownership::co_operative_ownership_with_a_land_and_mortgage_registe,building_type-15::block,construction_status::to_completion,4.0,4.0,430,2.0,building_material-69::brick,1,market::secondary,advertiser_type::agency,0,0,0,52.24168,21.08406,https://www.otodom.pl/pl/oferta/dwa-pokoje-na-grochowie-ID4knkN,2.894297695491211,5.426385975221123
Białołęka,749000.0,10939.0,68.47,2014.0,,,,4.0,4.0,,3.0,,1,market::secondary,advertiser_type::agency,1,0,0,52.31689,21.06904,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-68m2-na-zamknietym-osiedlu-ID4lcp7,3.054090873269051,10.395073152219444
Mokotów,1688750.0,17591.0,96.0,2015.0,building_ownership::full_ownership,,construction_status-67::ready_to_use,6.0,6.0,630,4.0,,1,market::secondary,advertiser_type::agency,0,0,0,52.1783258,20.9931308,https://www.otodom.pl/pl/oferta/apartament-w-samym-sercu-biznesowego-mokotowa-hit-ID4jTkf,1.1246175023651572,6.002089147251448
Żoliborz,1188494.0,19300.0,61.58,2021.0,building_ownership::full_ownership,building_type::apartment,construction_status-67::ready_to_use,1.0,6.0,650,3.0,,1,market::secondary,advertiser_type::agency,0,0,0,52.25785325,20.96682445,https://www.otodom.pl/pl/oferta/2-stronne-piekne-mieszkanie-zoliborz-artystyczny-ID4latA,1.5226472116179937,3.9466913545647997
Śródmieście,748000.0,17395.0,43.0,2018.0,building_ownership::full_ownership,building_type::apartment,construction_status-67::ready_to_use,1.0,6.0,,2.0,building_material-69::brick,1,market::secondary,advertiser_type::agency,1,0,1,52.25646735411182,20.979392952917472,https://www.otodom.pl/pl/oferta/gotowe-do-zamieszkania-duzy-balkon-przy-arkadii-ID4l0Wr,0.9577696144500821,3.2964076971626235
Mokotów,3171960.0,32456.0,97.73,2023.0,,building_type::apartment,,7.0,8.0,,4.0,building_material-69::brick,1,market::primary,advertiser_type::agency,0,0,0,52.18468,21.01029,https://www.otodom.pl/pl/oferta/4-pokoje-na-makotowie-ID4lh3K,0.242772354388262,5.238589668053874
Białołęka,1190000.0,18594.0,64.0,2020.0,building_ownership::full_ownership,building_type-15::block,construction_status-67::ready_to_use,1.0,4.0,900,3.0,building_material-69::brick,1,market::secondary,advertiser_type::agency,1,0,0,52.33511,20.97623,https://www.otodom.pl/pl/oferta/3-pokoje-nietuzinkowe-garaz-komorka-ID4kHHq,5.835859935780262,11.674044911431107
Bemowo,564800.0,12684.0,44.53,2024.0,building_ownership::full_ownership,,construction_status-67::ready_to_use,2.0,5.0,,2.0,,0,market::primary,advertiser_type::agency,1,0,0,52.22838,20.89027,https://www.otodom.pl/pl/oferta/m2-od-pld-zach-przy-metrze-z-gwarancja-ceny-ID4gLJO,2.1297364440696374,7.8940717264814
Praga-Południe,1800000.0,19780.0,91.0,2010.0,building_ownership::full_ownership,building_type-15::block,construction_status-67::ready_to_use,0.0,4.0,,4.0,,1,market::secondary,advertiser_type::agency,0,1,0,52.23587198,21.09431863,https://www.otodom.pl/pl/oferta/mieszkanie-z-ogrodkiem-2-x-garaz-praga-poludnie-ID3ilUO,3.739931905070043,6.028833274372214
Śródmieście,669500.0,17167.0,39.0,,building_ownership::co_operative_ownership_with_a_land_and_mortgage_registe,building_type-15::block,construction_status-67::ready_to_use,10.0,15.0,700,2.0,building_material::concrete_plate,1,market::secondary,advertiser_type::agency,1,0,0,52.23444,20.99848,https://www.otodom.pl/pl/oferta/2-pokoje-przy-zlotych-tarasach-i-palacu-kultury-ID4lax6,0.2981364503784182,0.5977005645584047
